"","game_str","play_id","valid_steal","first_baserunner.x","second_baserunner.x","diagonalpitch_time","diagonalexchange_time","diagonalpop_time","sb_entry_time","sb_entry_x","eb_entry_y","tb_entry_time","tb_entry_x","tb_entry_y"
"96","1884_035_Vis1AO_Home1A",78,0,NA,963,0.45,0.7,1.6,NA,NA,NA,2573033,-56.2617,71.2563
"97","1884_036_Vis3AK_Home3A",38,1,572,NA,0.462,0.66,2.046,1486748,7.9398,120.9648,NA,NA,NA
"98","1884_036_Vis3AK_Home3A",181,0,4886,NA,0.462,0.693,1.914,6230602,8.406,121.0173,NA,NA,NA
"99","1884_036_Vis3AK_Home3A",204,1,547,NA,0.528,0.693,2.112,6876577,6.8625,119.9751,NA,NA,NA
"100","1884_037_Vis3AK_Home3A",131,1,8012,8815,0.6,2.4,3,4451277,8.1924,121.3278,4450627,-55.7496,70.7898
"101","1884_037_Vis3AK_Home3A",246,0,8012,8815,0.5,2.05,2.85,NA,NA,NA,8084077,-56.6694,71.2482
"102","1884_038_Vis2AJ_Home2A",67,0,798,334,0.5,0.65,1.5,1969138,7.5183,120.4581,1968738,-56.5905,71.4378
"103","1884_038_Vis3AK_Home3A",55,0,565,NA,0.5,0.65,1.9,1800008,7.9032,120.6543,NA,NA,NA
"104","1884_038_Vis3AK_Home3A",75,0,786,NA,0.55,0.65,1.85,2471458,6.3939,120.1137,NA,NA,NA
"105","1884_038_Vis3AK_Home3A",114,0,975,NA,0.45,0.6,1.85,3577358,7.6386,120.7413,NA,NA,NA
"106","1884_038_Vis3AK_Home3A",169,0,975,572,0.5,2.6,3.75,NA,NA,NA,5564208,-56.0931,71.3583
"107","1884_039_Vis2AJ_Home2A",110,1,637,NA,0.45,0.8,2.05,4155238,7.5315,120.4179,NA,NA,NA
"108","1884_039_Vis4AQ_Home4A",83,0,9830,NA,0.5,0.65,1.95,2403368,7.5018,120.9057,NA,NA,NA
"109","1884_039_Vis4AQ_Home4A",96,1,467,NA,0.5,0.7,1.9,3333568,7.5171,120.0042,NA,NA,NA
"110","1884_039_Vis4AQ_Home4A",264,1,NA,835,0.45,1.6,2.1,NA,NA,NA,87172818,-60.7233,68.1741
"111","1884_040_Vis4AQ_Home4A",119,0,427,NA,0.5,0.5,1.7,3275063,7.0947,120.2985,NA,NA,NA
"112","1884_040_Vis4AQ_Home4A",197,0,868,NA,0.45,0.6,1.85,5701472,8.1951,120.7728,NA,NA,NA
"113","1884_041_Vis2AK_Home2A",181,0,513,NA,0.45,0.75,2,5652903,8.1612,120.2826,NA,NA,NA
"114","1884_041_Vis4AR_Home4A",32,1,427,636,0.45,0.7,1.55,1013908,7.5822,120.2124,1013608,-56.2446,71.4081
"115","1884_041_Vis4AR_Home4A",49,1,5984,NA,0.45,0.8,2.15,1539508,7.2231,120.5055,NA,NA,NA
"116","1884_041_Vis4AR_Home4A",190,1,868,NA,0.45,0.7,1.95,6445958,7.3263,120.1434,NA,NA,NA
"117","1884_041_Vis4AR_Home4A",259,1,337,NA,0.45,0.8,2,8895208,4.9167,125.1513,NA,NA,NA
"118","1884_043_Vis2AK_Home2A",9,1,8698,NA,0.462,0.627,1.914,142365,8.3463,121.2723,NA,NA,NA
"119","1884_043_Vis2AK_Home2A",34,0,495,NA,0.462,0.66,1.947,812167,8.5824,120.7032,NA,NA,NA
"120","1884_043_Vis2AK_Home2A",98,0,495,NA,0.462,0.66,1.947,2782758,8.3373,120.4944,NA,NA,NA
"121","1884_043_Vis2AK_Home2A",103,0,NA,495,0.429,0.693,2.013,NA,NA,NA,NA,NA,NA
"122","1884_043_Vis4AR_Home4A",139,1,2617,NA,0.5,0.7,2,4350991,7.0218,120.7365,NA,NA,NA
"123","1884_044.5_Vis1AP_Home1A",2,0,2052,NA,0.5,0.7,1.9,62591,7.9113,121.5345,NA,NA,NA
"124","1884_044.5_Vis1AP_Home1A",17,0,NA,753,0.5,0.65,1.55,NA,NA,NA,656441,-55.1061,71.0013
"125","1884_044.5_Vis1AP_Home1A",96,1,9878,NA,0.55,0.85,2.1,3570295,8.5833,120.8844,NA,NA,NA
"126","1884_045_Vis1AP_Home1A",25,0,753,NA,0.45,0.7,2.05,720056,7.7103,120.5907,NA,NA,NA
"127","1884_046_Vis1AP_Home1A",146,0,753,NA,0.5,0.6,1.95,4680380,7.9125,120.5415,NA,NA,NA
"128","1884_048_Vis1AQ_Home1A",135,1,7895,NA,0.6,0.95,1.75,4339621,7.9155,121.0209,NA,NA,NA
"129","1884_049_Vis1AQ_Home1A",41,0,6887,NA,0.5,0.8,1.95,1310012,7.7799,120.2373,NA,NA,NA
"130","1884_050_Vis1AQ_Home1A",129,1,630,NA,0.528,0.693,2.013,4324249,8.0043,120.2556,NA,NA,NA
"131","1884_051_Vis3AL_Home3A",60,1,2339,NA,0.55,0.75,1.95,1534826,7.5621,120.6924,NA,NA,NA
"132","1884_051_Vis3AL_Home3A",104,1,3757,NA,0.5,0.9,2.05,3009476,8.6295,121.1781,NA,NA,NA
"133","1884_051_Vis3AL_Home3A",258,0,2092,3757,0.5,0.7,1.5,NA,NA,NA,8708643,-61.7205,67.2711
"134","1884_051_Vis4AS_Home4A",32,1,586,NA,0.6,0.7,2,938044,7.6635,122.253,NA,NA,NA
"135","1884_054_Vis4AT_Home4A",40,0,NA,460,0.5,1,2.3,NA,NA,NA,NA,NA,NA
"136","1884_054_Vis4AT_Home4A",141,0,879,NA,0.5,0.8,2,NA,NA,NA,NA,NA,NA
"137","1884_054_Vis4AT_Home4A",164,1,467,NA,0.5,0.65,1.9,NA,NA,NA,NA,NA,NA
"138","1884_055_Vis4AT_Home4A",101,1,4553,NA,0.45,0.75,1.9,3082488,7.4046,121.2753,NA,NA,NA
"139","1884_056_Vis1AR_Home1A",76,0,753,NA,0.495,0.726,1.947,2681420,7.7103,120.0018,NA,NA,NA
"140","1884_056_Vis1AR_Home1A",100,1,7127,NA,0.561,0.627,1.815,3372639,7.5072,120.6669,NA,NA,NA
"141","1884_056_Vis1AR_Home1A",192,0,NA,423,0.594,2.475,3.333,NA,NA,NA,6491802,-56.5119,71.7969
"142","1884_057_Vis2AL_Home2A",8,0,4648,NA,0.55,0.7,1.9,171254,8.3226,121.3224,NA,NA,NA
"143","1884_057_Vis2AL_Home2A",251,NA,NA,NA,0.55,0.75,1.65,NA,NA,NA,NA,NA,NA
"144","1884_058_Vis2AL_Home2A",210,1,993,NA,0.5,0.7,1.85,6872364,6.63,120.5385,NA,NA,NA
"145","1884_059_Vis1AS_Home1A",91,0,2560,NA,0.55,0.6,1.9,3081520,7.062,120.315,NA,NA,NA
"146","1884_059_Vis1AS_Home1A",183,1,963,NA,0.5,0.9,2.15,6362423,7.5276,120.3027,NA,NA,NA
"147","1884_059_Vis1AS_Home1A",202,1,NA,9919,0.45,1.05,1.9,NA,NA,NA,7051623,-56.4819,72.426
"148","1884_059_Vis1AS_Home1A",239,1,9473,NA,0.45,0.65,1.9,8254073,7.2798,119.3601,NA,NA,NA
"149","1884_060_Vis1AS_Home1A",17,0,2560,NA,0.55,0.7,1.95,455275,7.1586,119.4177,NA,NA,NA
"150","1884_060_Vis1AS_Home1A",46,0,9473,9728,0.45,0.75,1.9,NA,NA,NA,NA,NA,NA
"151","1884_060_Vis1AS_Home1A",98,1,892,NA,0.5,0.7,2,3669658,6.4857,120.0105,NA,NA,NA
"152","1884_060_Vis2AL_Home2A",151,0,615,NA,0.55,0.8,2.05,4615983,6.5733,120.3516,NA,NA,NA
"153","1884_062_Vis2AM_Home2A",54,NA,NA,NA,0.5,0.7,2,NA,NA,NA,NA,NA,NA
"154","1884_063_Vis2AM_Home2A",154,0,471,NA,0.462,0.66,1.848,5187813,6.7233,118.9671,NA,NA,NA
"155","1884_063_Vis3AM_Home3A",60,1,NA,651,0.5,0.7,1.55,NA,NA,NA,2174081,-56.4813,72.1383
"156","1884_063_Vis3AM_Home3A",146,1,4983,NA,0.45,0.65,1.95,4763931,7.8132,120.9462,NA,NA,NA
"157","1884_064_Vis3AM_Home3A",48,1,3684,NA,0.5,0.55,1.8,1171574,7.5837,120.5109,NA,NA,NA
"158","1884_065_Vis1AT_Home1A",21,1,626,NA,0.55,0.75,2,551968,7.0107,119.8797,NA,NA,NA
"159","1884_066_Vis1AT_Home1A",97,0,5419,NA,0.55,0.6,1.85,3474777,7.6536,121.6845,NA,NA,NA
"160","1884_066_Vis1AT_Home1A",118,1,7735,NA,0.55,0.6,1.9,4388677,7.8477,120.2811,NA,NA,NA
"161","1884_067_Vis1AT_Home1A",72,1,NA,753,0.45,0.8,1.7,NA,NA,NA,2634577,-55.2114,69.3351
"162","1884_067_Vis1AT_Home1A",154,0,423,NA,0.45,0.7,2,5311127,6.8433,120.3993,NA,NA,NA
"163","1884_067_Vis1AT_Home1A",192,1,753,NA,0.5,0.7,1.85,6694677,6.6864,120.3156,NA,NA,NA
"164","1884_067_Vis1AT_Home1A",228,0,877,NA,0.5,0.75,2.05,8127277,7.2669,119.9127,NA,NA,NA
"165","1884_068_Vis4AU_Home4A",16,1,9004,NA,0.5,0.7,2.05,NA,NA,NA,NA,NA,NA
"166","1884_068_Vis4AU_Home4A",31,1,561,NA,0.45,0.65,2,1054962,7.7127,120.7821,NA,NA,NA
"167","1884_068_Vis4AU_Home4A",242,1,9004,NA,0.45,0.7,1.9,8593862,8.8212,121.1343,NA,NA,NA
"168","1884_070_Vis4AU_Home4A",153,0,460,NA,0.462,0.792,1.98,4504891,8.3814,120.7119,NA,NA,NA
"169","1884_071_Vis2AN_Home2A",149,1,973,993,0.55,0.75,1.55,5250270,8.1915,120.9573,5249370,-55.5945,71.0841
"170","1884_071_Vis2AN_Home2A",212,0,4358,NA,0.6,0.6,1.8,7490320,7.3332,119.6157,NA,NA,NA
"171","1884_074_Vis1AU_Home1A",50,0,5554,NA,0.45,0.65,1.9,1680454,7.7418,120.3492,NA,NA,NA
"172","1884_075_Vis3AN_Home3A",111,0,NA,544,0.45,0.65,1.95,NA,NA,NA,NA,NA,NA
"173","1884_075_Vis3AN_Home3A",155,1,475,786,0.55,0.65,1.5,4824875,7.5282,121.1337,4824575,-55.7196,70.7274
"174","1884_075_Vis3AN_Home3A",164,1,345,NA,0.5,0.6,1.9,5111025,7.053,120.1605,NA,NA,NA
"175","1884_076_Vis3AN_Home3A",114,0,572,NA,0.5,0.6,1.9,3331994,7.6911,120.327,NA,NA,NA
"176","1884_077_Vis1AU_Home1A",147,0,423,NA,0.495,0.693,1.98,5972606,8.0934,120.627,NA,NA,NA
"177","1884_077_Vis1AU_Home1A",174,1,959,NA,0.561,0.66,2.079,7045903,8.7882,121.0209,NA,NA,NA
"178","1884_077_Vis1AU_Home1A",202,1,626,NA,0.495,0.627,1.947,8118041,7.683,120.3882,NA,NA,NA
"179","1884_077_Vis3AO_Home3A",15,0,5207,NA,0.5,0.7,1.95,316740,7.1343,121.6179,NA,NA,NA
"180","1884_077_Vis3AO_Home3A",71,0,NA,651,0.45,0.75,1.5,NA,NA,NA,2202740,-55.3818,71.1579
"181","1884_077_Vis3AO_Home3A",173,0,5207,NA,0.5,0.5,1.4,NA,NA,NA,NA,NA,NA
"182","1884_078_Vis3AO_Home3A",57,1,345,NA,0.45,0.7,2.05,1596478,7.7172,119.9211,NA,NA,NA
"183","1884_078_Vis3AO_Home3A",63,1,NA,345,0.5,0.55,1.5,NA,NA,NA,1771628,-55.6224,71.2116
"184","1884_078_Vis3AO_Home3A",101,1,786,NA,0.5,0.8,2.1,2943778,6.348,119.6187,NA,NA,NA
"185","1884_078_Vis3AO_Home3A",168,1,9235,5207,0.5,0.6,1.9,NA,NA,NA,NA,NA,NA
"186","1884_079_Vis3AO_Home3A",134,0,7252,8790,0.5,0.55,1.85,NA,NA,NA,NA,NA,NA
"187","1884_079_Vis3AO_Home3A",197,1,7252,NA,0.45,0.55,1.8,5662409,7.6305,121.3926,NA,NA,NA
"188","1884_079_Vis3AO_Home3A",233,1,8790,NA,0.55,0.65,1.9,6772759,7.32,120.8166,NA,NA,NA
"189","1884_079_Vis4AV_Home4A",51,0,7219,NA,0.45,0.75,2,1611166,7.0929,123.0123,NA,NA,NA
"190","1884_080.5_Vis4AV_Home4A",61,1,337,NA,0.45,0.65,1.95,1833241,8.4948,121.4949,NA,NA,NA
"191","1884_080.5_Vis4AV_Home4A",163,0,8254,NA,0.5,0.7,1.9,5253041,8.0448,120.5544,NA,NA,NA
"192","1884_082_Vis2AO_Home2A",69,0,565,NA,0.45,0.8,2.05,1941193,7.3512,120.5277,NA,NA,NA
"193","1884_085_Vis3AP_Home3A",132,1,345,NA,0.5,0.9,2.2,4241459,7.2159,119.7672,NA,NA,NA
"194","1884_086_Vis3AP_Home3A",12,0,2667,NA,0.5,0.55,1.85,342688,7.3539,121.323,NA,NA,NA
"195","1884_086_Vis3AP_Home3A",23,0,6071,NA,0.5,0.5,1.45,NA,NA,NA,NA,NA,NA
"196","1884_086_Vis3AP_Home3A",57,0,NA,4343,0.5,0.65,2.05,NA,NA,NA,NA,NA,NA
"197","1884_086_Vis4AW_Home4A",215,1,337,NA,0.45,0.65,1.85,7229907,8.4774,120.7083,NA,NA,NA
"198","1884_087_Vis3AP_Home3A",70,0,345,NA,0.55,0.6,1.9,2406396,6.6954,119.3397,NA,NA,NA
"199","1884_087_Vis3AP_Home3A",192,1,9957,NA,0.5,0.7,2,6710396,6.7533,120.4656,NA,NA,NA
"200","1884_087_Vis4AW_Home4A",69,0,5425,2778,0.5,0.65,1.75,NA,NA,NA,2192212,-56.1081,71.7723
"201","1884_089_Vis2AP_Home2A",129,0,408,NA,0.45,1.3,2.6,3427297,7.71,120.7929,NA,NA,NA
"202","1884_091_Vis1AV_Home1A",109,0,626,753,0.45,0.75,1.65,NA,NA,NA,3819724,-54.3873,70.377
"203","1884_092.5_Vis2AP_Home2A",163,1,993,NA,0.5,0.65,1.8,4903941,7.4229,120.4332,NA,NA,NA
"204","1884_092_Vis4AX_Home4A",244,0,7758,NA,0.5,0.6,1.8,8573211,7.0653,120.3054,NA,NA,NA
"205","1884_093_Vis1AV_Home1A",58,0,435,NA,0.5,0.55,1.95,1919865,7.1883,119.6247,NA,NA,NA
"206","1884_093_Vis1AV_Home1A",90,0,626,NA,0.55,0.6,1.85,2963565,7.2354,120.6453,NA,NA,NA
"207","1884_093_Vis4AX_Home4A",54,1,868,NA,0.5,0.65,2,1728998,8.2263,120.8199,NA,NA,NA
"208","1884_093_Vis4AX_Home4A",110,0,337,624,0.55,0.7,2.05,NA,NA,NA,NA,NA,NA
"209","1884_094_Vis1AW_Home1A",60,0,2347,6644,0.5,0.65,1.85,NA,NA,NA,NA,NA,NA
"210","1884_094_Vis1AW_Home1A",223,0,626,NA,0.5,0.8,2.05,8185691,7.0851,120.6501,NA,NA,NA
"211","1884_096_Vis1AW_Home1A",166,0,4923,NA,0.495,0.693,1.881,6326542,8.1117,121.518,NA,NA,NA
"212","1884_096_Vis1AW_Home1A",227,1,753,NA,0.462,0.561,1.914,8761230,7.8981,120.0795,NA,NA,NA
"213","1884_099_Vis3AQ_Home3A",205,1,9680,NA,0.6,0.8,2.05,6161641,7.2567,120.2214,NA,NA,NA
"214","1884_099_Vis3AQ_Home3A",244,1,6485,NA,0.45,0.65,1.95,7551941,7.1268,120.9849,NA,NA,NA
"215","1884_100_Vis3AQ_Home3A",126,0,786,NA,0.45,0.7,1.95,3881656,6.0867,119.949,NA,NA,NA
